ds_dx_cost,mds_tx_cost,dr_dx_cost,dst_cost,vxdelivR,vxdelivM,mdr_r1_cost,mdr_r2_cost,mdr_sc_cost,cost_hash
25.4990057878482,27.7632006406788,30.5988069454178,12.8293483237198,2.3817192900907,2.46979697524594,376.434792171365,549.723376269939,539.6993286605,Xd7b5e
26.4124207394023,27.7345053408933,31.6949048872827,13.3716590756945,2.42129110070737,2.46308980870536,332.766812604291,762.305814356023,530.722535960428,Xd840c
31.3594511865616,28.3986429789823,37.6313414238739,12.8076241715802,2.63184418702345,2.45948162002427,393.804691360797,807.556864358094,656.816902665446,Xc9c7c
27.243945146864,28.3244326111689,32.6927341762368,14.0833179891843,2.49861116091504,2.07159967469918,406.246488209344,560.282795617287,630.950823249096,Xf9fc1
27.4064950438655,26.7536189242342,32.8877940526385,13.3261596646177,2.35573659356806,2.54204883208068,354.129412253888,674.727972306152,578.920391516498,X1633a
31.7918439189886,29.0865516724789,38.1502127027863,12.7542443832362,2.11336210046585,2.21284919810638,338.728759752185,622.473203600953,678.494558893026,X05156
28.3235888790343,28.572613623289,33.9883066548411,11.8909244852035,2.38947125625989,2.58659969268445,354.584336755858,654.609414587504,490.245089231416,Xbd09e
23.5505268242068,29.9805172163897,28.2606321890482,12.7336596069529,2.19495275035426,2.47010093261047,324.598537916538,791.896349035297,600.747226259618,X9c653
25.1495190395153,28.8556085445651,30.1794228474184,14.6823197806268,2.3592973233545,2.27475734076157,340.078941587667,722.875137961829,591.059092330931,X5b4f1
25.8165144583325,28.1198678620441,30.979817349999,12.7937333479561,1.98889690244724,2.39046300489102,389.622371786507,767.605939865886,617.610586007319,Xe102f
30.4340664788132,30.2282322191723,36.5208797745759,12.5943270335148,2.45896349527538,2.49524273864676,339.115507528545,760.241693080404,582.884982179056,Xdf602
28.0439977805748,30.2508699132069,33.6527973366898,13.6730538030329,2.11744560895716,2.60142133407501,382.377889492099,593.490447303822,560.790370352138,Xcb596
28.1572630377913,27.6183389732627,33.7887156453496,13.5197123659576,2.40141021818844,2.41778908063537,333.157496595383,522.833746610565,682.16996173471,X3f641
27.3550442489943,28.7151313394741,32.8260530987931,13.7445475818161,1.96158633157263,2.33459600473655,369.064369613702,681.212745908679,635.045502713822,X438ad
25.5118221850305,28.2730472454236,30.6141866220366,12.9986098872854,2.31741161034266,2.20742739776859,334.43406103034,638.78936096438,537.415022583965,X71a3b
31.9905346260776,28.5318840929101,38.3886415512932,14.0133515240249,1.96422762381514,2.53338262221476,374.727078953192,744.965610266483,586.815085858922,Xcd13f
