Year,RH_DS,EstDSCDR,Manual GLF,5 / f881f9864c617303ac21c9a32c564c2a,6 / 7f9f2a56ed523610a598189043723ef1,7 / eb085544ec80362328ded5f6033e2cae,8 / df694dee9e5522371a394ade1b31d522
1900,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1901,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1902,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1903,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1904,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1905,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1906,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1907,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1908,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1909,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1910,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1911,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1912,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1913,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1914,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1915,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1916,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1917,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1918,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1919,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1920,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1921,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1922,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1923,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1924,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1925,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1926,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1927,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1928,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1929,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1930,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1931,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1932,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1933,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1934,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1935,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1936,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
1937,0.405697396,0.32105319486383,0.400727188306181,0.375000702796883,0.400000082441183,0,0
